Date,North/South,Site,Area,ID,Cord,No.muss,Length,Width,Height,Location,Hog
28-Jul-18,North,Hog East South,Creek Head,50,0,1,1,1,0,Platform,high
28-Jul-18,North,Hog East South,Creek Head,51,1,1,2,1,1,Defunct Mound,high
28-Jul-18,North,Hog East South,Creek Head,52,1,5,5,3,3,Defunct Mound,high
28-Jul-18,North,Hog East South,Creek Head,53,1,2,4,2,4,Defunct Mound,high
28-Jul-18,North,Hog East South,Creek Head,54,1,10,14,8,3,Defunct Mound,high
28-Jul-18,North,Hog East South,Creek Head,55,0,3,3,2,1,Defunct Mound,high
28-Jul-18,North,Hog East South,Creek Head,56,0,1,3,1,1,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,1,1,1,2,1,0,Platform,high
28-Jul-18,North,Hog East South,Marsh Platform,2,0,1,3,1,0,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,3,0,3,5,3,0,Platform,high
28-Jul-18,North,Hog East South,Marsh Platform,4,0,1,1,1,0,Platform,high
28-Jul-18,North,Hog East South,Marsh Platform,5,0,4,5,2,0,Platform,high
28-Jul-18,North,Hog East South,Marsh Platform,6,1,1,2,1,1,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,7,0,3,5,3,1,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,8,1,5,6,4,3,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,9,0,1,2,1,0,Platform,high
28-Jul-18,North,Hog East South,Marsh Platform,10,1,3,3,3,2,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,11,0,1,2,1,0,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,12,0,1,2,1,0,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,13,0,1,2,1,0,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,14,0,3,3,2,1,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,15,0,1,1,1,0,Platform,high
28-Jul-18,North,Hog East South,Marsh Platform,16,0,1,3,1,0,Platform,high
28-Jul-18,North,Hog East South,Marsh Platform,17,0,1,1,1,0,Platform,high
28-Jul-18,North,Hog East South,Marsh Platform,18,0,7,10,6,2,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,19,1,2,4,2,2,Defunct Mound,high
28-Jul-18,North,Hog East South,Marsh Platform,20,0,1,2,1,0,Platform,high
28-Jul-18,North,Hog East South,Marsh Platform,21,1,1,2,1,0,Platform,high
28-Jul-18,North,Hog East South,Marsh Platform,22,0,2,2,1,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,1,1,1,2,2,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,2,1,1,3,2,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,3,1,1,3,1,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,4,1,1,1,1,5,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,5,1,2,5,3,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,6,1,3,4,4,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,7,1,2,2,2,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,8,1,1,2,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,9,1,1,2,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,10,1,1,2,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,11,1,3,5,3,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,12,1,2,1,1,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,13,1,1,2,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,14,1,2,3,2,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,15,1,3,3,3,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,16,1,1,1,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,17,1,1,1,1,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,18,0,2,2,2,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,19,1,1,1,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,20,0,1,1,1,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,21,1,1,1,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,22,1,3,2,2,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,23,1,1,2,1,8,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,24,1,1,2,1,8,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,25,1,1,2,1,8,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,26,1,1,2,1,6,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,27,1,3,5,3,6,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,28,0,1,2,1,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,29,1,1,2,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,30,1,2,4,2,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,31,1,2,2,2,1,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,32,0,4,7,5,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,33,1,2,2,2,5,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,34,1,2,2,1,4,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,35,1,1,2,1,4,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,36,1,2,2,2,4,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,37,0,1,2,1,4,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,38,0,2,4,2,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,39,1,2,4,2,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,40,1,1,3,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,41,1,2,2,2,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,42,0,1,2,2,2,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,43,1,3,2,2,2,Platform,high
28-Jul-18,North,Hog West,Creek Head,44,1,1,1,1,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,45,0,1,2,1,5,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,46,1,1,2,1,5,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,47,1,3,2,2,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,48,0,2,2,1,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,49,1,1,1,1,0,Platform,high
28-Jul-18,North,Hog West,Creek Head,50,1,1,2,1,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,51,1,3,3,2,3,Defunct Mound,high
28-Jul-18,North,Hog West,Creek Head,52,1,5,4,3,0,Platform,high
28-Jul-18,North,Hog West,Marsh Platform,1,1,2,2,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Marsh Platform,2,0,1,1,1,0,Platform,high
28-Jul-18,North,Hog West,Marsh Platform,3,1,1,1,1,1,Defunct Mound,high
28-Jul-18,North,Hog West,Marsh Platform,4,1,5,5,5,2,Defunct Mound,high
28-Jul-18,North,Hog West,Marsh Platform,5,1,1,2,1,2,Defunct Mound,high
28-Jul-18,North,Hog West,Marsh Platform,6,1,1,2,1,3,Defunct Mound,high
28-Jul-18,North,Hog West,Marsh Platform,7,1,1,2,1,4,Defunct Mound,high
28-Jul-18,North,Hog West,Marsh Platform,8,1,1,2,1,3,Defunct Mound,high
28-Jul-18,North,Hog West,Marsh Platform,9,1,2,4,2,4,Defunct Mound,high
28-Jul-18,North,Hog West,Marsh Platform,10,1,3,3,3,4,Defunct Mound,high
28-Jul-18,North,Hog West,Marsh Platform,11,0,1,2,1,0,Platform,high
28-Jul-18,North,Hog West,Marsh Platform,12,0,1,1,1,0,Platform,high
28-Jul-18,North,Hog West,Marsh Platform,13,0,1,2,1,0,Platform,high
28-Jul-18,North,Hog West,Marsh Platform,14,1,10,5,8,8,Defunct Mound,high
